ID;Assessment
AC-1;C
AC-2;PC
AC-2g.;C
AC-2 (1);PC
AC-2 (2);C
AC-2 (3);PC
AC-2 (4);C
AC-2 (5);C
AC-2 (6);C
AC-2 (7);C
AC-2 (8);C
AC-2 (9);PC
AC-2 (10);NC
AC-2 (11);PC
AC-2 (12);NC
AC-2 (13);C
AC-3;PC
AC-3 (1);C
AC-3 (2);NC
AC-3 (3);NC
AC-3 (4);C
AC-3 (5);NC
AC-3 (6);PC
AC-3 (7);C
AC-3 (8);NC
AC-3 (9);C
AC-3 (10);C
AC-4;NC
AC-4 (1);C
AC-4 (2);PC
AC-4 (3);NC
AC-4 (4);C
AC-4 (5);C
AC-4 (6);C
AC-4 (7);NC
AC-4 (8);NC
AC-4 (9);NC
AC-4 (10);NC
AC-4 (11);C
AC-4 (12);NC
AC-4 (13);C
AC-4 (14);NC
AC-4 (15);C
AC-4 (16);NC
AC-4 (17);C
AC-4 (18);NC
AC-4 (19);C
AC-4 (20);PC
AC-4 (21);PC
AC-4 (22);PC
AC-5;NC
AC-6;NC
AC-6 (1);C
AC-6 (2);NC
AC-6 (3);NC
AC-6 (4);PC
AC-6 (5);C
AC-6 (6);PC
AC-6 (7);C
AC-6 (8);C
AC-6 (9);NC
AC-6 (10);PC
AC-7;NC
AC-7 (1);C
AC-7 (2);NC
AC-8;PC
AC-9;C
AC-9 (1);PC
AC-9 (2);PC
AC-9 (3);C
AC-9 (4);PC
AC-10;NC
AC-11;PC
AC-11 (1);PC
AC-12;PC
AC-12 (1);PC
AC-13;NC
AC-14;NC
AC-14b.;NC
AC-14 (1);NC
AC-15;NC
AC-16;PC
AC-16a.;PC
AC-16 (1);C
AC-16 (2);C
AC-16 (3);C
AC-16 (4);C
AC-16 (5);NC
AC-16 (6);NC
AC-16 (7);NC
AC-16 (8);C
AC-16 (9);C
AC-16 (10);C
AC-17;C
AC-17 (1);PC
AC-17 (2);PC
AC-17 (3);PC
AC-17 (4);PC
AC-17 (4)(b);C
AC-17 (5);PC
AC-17 (6);C
AC-17 (7);C
AC-17 (8);C
AC-17 (9);NC
AC-18;C
AC-18 (1);C
AC-18 (2);NC
AC-18 (3);CC
AC-18 (4);NC
AC-18 (5);C
AC-19;C
AC-19 (1);NC
AC-19 (2);C
AC-19 (3);C
AC-19 (4);C
AC-19 (5);NC
AC-20;C
AC-20 (1);NC
AC-20 (2);C
AC-20 (3);C
AC-20 (4);C
AC-21;NC
AC-21 (1);PC
AC-21 (2);PC
AC-22;PC
AC-23;PC
AC-24;PC
AC-24 (1);PC
AC-24 (2);NC
AC-25;C
AT-1;NC
AT-2;PC
AT-2 (1);NC
AT-2 (2);PC
AT-3;NC
AT-3 (1);PC
AT-3 (2);NC
