Family;Name;Title;Priority;Impact;Description;SupplementarGuidance;Related
ACCESS CONTROL;AC-1;ACCESS CONTROL POLICY AND PROCEDURES;P1;LOW,MODERATE,HIGH;The organization: Develops, documents, and disseminates to [Assignment: organization-defined personnel or roles]: An access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance, and Procedures to facilitate the implementation of the access control policy and associated access controls, and Reviews and updates the current: Access control policy [Assignment: organization-defined frequency], and Access control procedures [Assignment: organization-defined frequency].;This control addresses the establishment of policy and procedures for the effective implementation of selected security controls and control enhancements in the AC family. Policy and procedures reflect applicable federal laws, Executive Orders, directives, regulations, policies, standards, and guidance. Security program policies and procedures at the organization level may make the need for system-specific policies and procedures unnecessary. The policy can be included as part of the general information security policy for organizations or conversely, can be represented by multiple policies reflecting the complex nature of certain organizations. The procedures can be established for the security program in general and for particular information systems, if needed. The organizational risk management strategy is a key factor in establishing policy and procedures.;PM-9
ACCESS CONTROL;AC-2;ACCOUNT MANAGEMENT;P1;LOW,MODERATE,HIGH;The organization: Identifies and selects the following types of information system accounts to support organizational missions/business functions: [Assignment: organization-defined information system account types], Assigns account managers for information system accounts, Establishes conditions for group and role membership, Specifies authorized users of the information system, group and role membership, and access authorizations (i.e., privileges) and other attributes (as required) for each account, Requires approvals by [Assignment: organization-defined personnel or roles] for requests to create information system accounts, Creates, enables, modifies, disables, and removes information system accounts in accordance with [Assignment: organization-defined procedures or conditions],;Information system account types include, for example, individual, shared, group, system, guest/anonymous, emergency, developer/manufacturer/vendor, temporary, and service. Some of the account management requirements listed above can be implemented by organizational information systems. The identification of authorized users of the information system and the specification of access privileges reflects the requirements in other security controls in the security plan. Users requiring administrative privileges on information system accounts receive additional scrutiny by appropriate organizational personnel (e.g., system owner, mission/business owner, or chief information security officer) responsible for approving such accounts and privileged access. Organizations may choose to define access privileges or other attributes by account, by type of account, or a combination of both. Other attributes required for authorizing access include, for example, restrictions on time-of-day, day-of-week, and point-of-origin. In defining other account attributes, organizations consider system-related requirements (e.g., scheduled maintenance, system upgrades) and mission/business requirements, (e.g., time zone differences, customer requirements, remote access to support travel requirements). Failure to consider these factors could affect information system availability. Temporary and emergency accounts are accounts intended for short-term use. Organizations establish temporary accounts as a part of normal account activation procedures when there is a need for short-term accounts without the demand for immediacy in account activation. Organizations establish emergency accounts in response to crisis situations and with the need for rapid account activation. Therefore, emergency account activation may bypass normal account authorization processes. Emergency and temporary accounts are not to be confused with infrequently used accounts (e.g., local logon accounts used for special tasks defined by organizations or when network resources are unavailable). Such accounts remain available and are not subject to automatic disabling or removal dates. Conditions for disabling or deactivating accounts include, for example: (i) when shared/group, emergency, or temporary accounts are no longer required, or (ii) when individuals are transferred or terminated. Some types of information system accounts may require specialized training.;AC-3,AC-4,AC-5,AC-6,AC-10,AC-17,AC-19,AC-20,AU-9,IA-2,IA-4,IA-5,IA-8,CM-5,CM-6,CM-11,MA-3,MA-4,MA-5,PL-4,SC-13
ACCESS CONTROL;AC-2g.;ACCOUNT MANAGEMENT;P1;LOW,MODERATE,HIGH;Monitors the use of information system accounts, Notifies account managers: When accounts are no longer required, When users are terminated or transferred, and When individual information system usage or need-to-know changes, Authorizes access to the information system based on: A valid access authorization, Intended system usage, and Other attributes as required by the organization or associated missions/business functions, Reviews accounts for compliance with account management requirements [Assignment: organization-defined frequency], and Establishes a process for reissuing shared/group account credentials (if deployed) when individuals are removed from the group.;NaN;NaN
ACCESS CONTROL;AC-2 (1);AUTOMATED SYSTEM ACCOUNT MANAGEMENT;P1;MODERATE,HIGH;The organization employs automated mechanisms to support the management of information system accounts.;NaN;NaN
ACCESS CONTROL;AC-2 (2);REMOVAL OF TEMPORARY / EMERGENCY ACCOUNTS;P1;MODERATE,HIGH;The information system automatically [Selection: removes, disables] temporary and emergency accounts after [Assignment: organization-defined time period for each type of account].;NaN;NaN
ACCESS CONTROL;AC-2 (3);DISABLE INACTIVE ACCOUNTS;P1;MODERATE,HIGH;The information system automatically disables inactive accounts after [Assignment: organization-defined time period].;NaN;NaN
ACCESS CONTROL;AC-2 (4);AUTOMATED AUDIT ACTIONS;P1;MODERATE,HIGH;The information system automatically audits account creation, modification, enabling, disabling, and removal actions, and notifies [Assignment: organization-defined personnel or roles].;NaN;AU-2,AU-12
ACCESS CONTROL;AC-2 (5);INACTIVITY LOGOUT;P1;HIGH;The organization requires that users log out when [Assignment: organization-defined time-period of expected inactivity or description of when to log out].;NaN;SC-23
ACCESS CONTROL;AC-2 (6);DYNAMIC PRIVILEGE MANAGEMENT;P1;HIGH;The information system implements the following dynamic privilege management capabilities: [Assignment: organization-defined list of dynamic privilege management capabilities].;In contrast to conventional access control approaches which employ static information system accounts and predefined sets of user privileges, dynamic access control approaches (e.g., service-oriented architectures) rely on run time access control decisions facilitated by dynamic privilege management. While user identities may remain relatively constant over time, user privileges may change more frequently based on ongoing mission/business requirements and operational needs of organizations. Dynamic privilege management can include, for example, the immediate revocation of privileges from users, as opposed to requiring that users terminate and restart their sessions to reflect any changes in privileges. Dynamic privilege management can also refer to mechanisms that change the privileges of users based on dynamic rules as opposed to editing specific user profiles. This type of privilege management includes, for example, automatic adjustments of privileges if users are operating out of their normal work times, or if information systems are under duress or in emergency maintenance situations. This control enhancement also includes the ancillary effects of privilege changes, for example, the potential changes to encryption keys used for communications. Dynamic privilege management can support requirements for information system resiliency.;AC-16
ACCESS CONTROL;AC-2 (7);ROLE-BASED SCHEMES;P1;HIGH;The organization: Establishes and administers privileged user accounts in accordance with a role-based access scheme that organizes allowed information system access and privileges into roles, Monitors privileged role assignments, and Takes [Assignment: organization-defined actions] when privileged role assignments are no longer appropriate.;NaN;NaN
