ID;H;A;N;Runtime;Designtime;Operational;Compliance;Assessment
A.5.1.1;0;0;0;10;23;25;31;PC
A.5.1.2;0;0;0;10;23;25;31;PC
A.6.1.1;0;0;35.85;10;23;25;31;PC
A.6.1.2;0;0;35.85;10;23;25;31;PC
A.6.1.3;0;0;0;10;23;25;31;PC
A.6.1.4;0;0;0;10;23;25;31;PC
A.6.1.5;0;0;0;10;23;25;31;PC
A.6.2.1;59.83;30.95;0;10;23;25;31;PC
A.6.2.2;59.83;0;0;10;23;25;31;PC
A.7.1.1;0;0;0;10;23;25;31;PC
A.7.1.2;0;0;35.85;10;23;25;31;PC
A.7.2.1;0;0;0;10;23;25;31;NC
A.7.2.2;0;0;35.85;10;23;25;31;NC
A.7.2.3;0;0;0;10;23;25;31;NC
A.7.3.1;0;0;35.85;10;23;25;31;NC
A.8.1.1;0;0;29.37;10;23;25;31;C
A.8.1.2;0;49.89;0;10;23;25;31;C
A.8.1.3;0;0;0;10;23;25;31;C
A.8.1.4;0;0;0;10;23;25;31;C
A.8.2.1;0;0;0;10;23;25;31;C
A.8.2.2;0;0;0;10;23;25;31;C
A.8.2.3;0;0;29.37;10;23;25;31;C
A.8.3.1;0;0;29.37;10;23;25;31;C
A.8.3.2;0;0;29.37;10;23;25;31;C
A.8.3.3;0;0;29.37;10;23;25;31;PC
A.9.1.1;0;0;0;10;23;25;31;PC
A.9.1.2;0;0;0;10;23;25;31;PC
A.9.2.1;89.49;0;0;10;23;25;31;PC
A.9.2.2;89.49;0;0;10;23;25;31;PC
A.9.2.3;85.5;52.04;0;10;23;25;31;C
A.9.2.4;89.49;0;0;10;23;25;31;C
A.9.2.5;89.49;0;0;10;23;25;31;C
A.9.2.6;24.5;0;0;10;23;25;31;C
A.9.3.1;74.3;0;0;10;23;25;31;C
A.9.4.1;0;0;0;10;23;25;31;NC
A.9.4.2;87.4;0;0;10;23;25;31;NC
A.9.4.3;89.49;0;0;10;23;25;31;PC
A.9.4.4;0;52.04;0;10;23;25;31;PC
A.9.4.5;0;0;0;10;23;25;31;PC
A.10.1.1;0;0;0;10;23;25;31;C
A.10.1.2;0;0;0;10;23;25;31;NC
A.11.1.1;0;0;35.85;10;23;25;31;C
A.11.1.2;0;0;35.85;10;23;25;31;C
A.11.1.3;0;0;35.85;10;23;25;31;C
A.11.1.4;0;0;0;10;23;25;31;PC
A.11.1.5;0;0;35.85;10;23;25;31;PC
A.11.1.6;0;0;0;10;23;25;31;PC
A.11.2.1;0;0;0;10;23;25;31;PC
A.11.2.2;0;0;0;10;23;25;31;PC
A.11.2.3;0;0;0;10;23;25;31;PC
A.11.2.4;0;0;0;10;23;25;31;PC
A.11.2.5;0;0;35.85;10;23;25;31;PC
A.11.2.6;0;0;35.85;10;23;25;31;PC
A.11.2.7;0;0;35.85;10;23;25;31;PC
A.11.2.8;0;0;29.37;10;23;25;31;PC
A.11.2.9;0;0;29.37;10;23;25;31;PC
A.12.1.1;0;0;0;10;23;25;31;PC
A.12.1.2;0;0;0;10;23;25;31;PC
A.12.1.3;0;0;0;10;23;25;31;NC
A.12.1.4;87.4;0;0;10;23;25;31;NC
A.12.2.1;0;0;0;10;23;25;31;NC
A.12.3.1;0;0;0;10;23;25;31;NC
A.12.4.1;0;0;0;10;23;25;31;PC
A.12.4.2;0;0;35.85;10;23;25;31;PC
A.12.4.3;61.91;0;35.85;10;23;25;31;PC
A.12.4.4;0;0;35.85;10;23;25;31;PC
A.12.5.1;0;0;43.75;10;23;25;31;PC
A.12.6.1;0;0;0;10;23;25;31;PC
A.12.6.2;0;0;0;10;23;25;31;PC
A.12.7.1;0;0;0;10;23;25;31;PC
A.13.1.1;0;0;0;10;23;25;31;PC
A.13.1.2;0;0;0;10;23;25;31;PC
A.13.1.3;0;0;0;10;23;25;31;PC
A.13.2.1;0;0;0;10;23;25;31;NC
A.13.2.2;0;0;0;10;23;25;31;NC
A.13.2.3;0;0;35.85;10;23;25;31;NC
A.13.2.4;0;0;35.85;10;23;25;31;NC
A.14.1.1;0;0;0;10;23;25;31;NC
A.14.1.2;0;0;0;10;23;25;31;NC
A.14.1.3;0;0;0;10;23;25;31;NC
A.14.2.1;0;0;35.85;10;23;25;31;NC
A.14.2.2;0;0;0;10;23;25;31;C
A.14.2.3;0;0;35.85;10;23;25;31;C
A.14.2.4;0;0;35.85;10;23;25;31;C
A.14.2.5;0;0;0;10;23;25;31;C
A.14.2.6;0;0;35.85;10;23;25;31;C
A.14.2.7;0;0;35.85;10;23;25;31;C
A.14.2.8;0;0;35.85;10;23;25;31;PC
A.14.2.9;0;0;35.85;10;23;25;31;PC
A.14.3.1;0;0;35.85;10;23;25;31;NC
A.15.1.1;0;0;0;10;23;25;31;NC
A.15.1.2;0;0;0;10;23;25;31;NC
A.15.1.3;0;0;0;10;23;25;31;PC
A.15.2.1;0;0;35.85;10;23;25;31;PC
A.15.2.2;0;0;35.85;10;23;25;31;PC
A.16.1.1;0;48.45;29.37;10;23;25;31;PC
A.16.1.2;0;0;0;10;23;25;31;PC
A.16.1.3;0;0;0;10;23;25;31;PC
A.16.1.4;0;0;0;10;23;25;31;PC
A.16.1.5;0;48.45;35.85;10;23;25;31;PC
A.16.1.6;0;0;0;10;23;25;31;PC
A.16.1.7;0;0;0;10;23;25;31;NC
A.17.1.1;0;0;0;10;23;25;31;NC
