ID;H;A;N;Runtime;Designtime;Operational;Compliance;Assessment
MAINTENANCE;0.0;0.0;0.0;0.0;0.0;0.0;0.48339998722076416;null
INCIDENT RESPONSE;0.0;0.0;0.0;0.0;0.0;0.2248000055551529;0.0;null
SYSTEM AND COMMUNICATIONS PROTECTION;0.0;0.0;0.4171000123023987;0.0;0.0;0.2248000055551529;0.0;null
AUDIT AND ACCOUNTABILITY;0.0;0.5446000099182129;0.0;0.0;0.0;0.0;0.0;null
ACCESS CONTROL;0.2624000012874603;0.3774000108242035;0.3221000134944916;0.0;0.0;0.4657000005245209;0.0;null
PHYSICAL AND ENVIRONMENTAL PROTECTION;0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;null
SYSTEM AND INFORMATION INTEGRITY;0.0;0.0;0.45210000872612;0.0;0.0;0.0;0.0;null
CONTINGENCY PLANNING;0.0;0.0;0.0;0.2784999907016754;0.21060000360012054;0.0;0.0;null
CONFIGURATION MANAGEMENT;0.322299987077713;0.0;0.0;0.0;0.39800000190734863;0.33320000767707825;0.0;null
IDENTIFICATION AND AUTHENTICATION;0.0;0.0;0.2184000015258789;0.0;0.0;0.7563999891281128;0.0;null
SECURITY ASSESSMENT AND AUTHORIZATION;0.0;0.0;0.0;0.37880000472068787;0.0;0.0;0.0;null
SYSTEM AND SERVICES ACQUISITION;0.0;0.0;0.0;0.0;0.0;0.2547999918460846;0.0;null
