Layer;Edge;Discount
human;[source:OWN@doctor1, destination:OWN@resident1, vulnId:unprotected_credential, explType:PROXIMITY];0.059449768578785436
human;[source:OWN@resident1, destination:USE@doctor1, vulnId:no_logout, explType:PROXIMITY];0.09217476857878543
human;[source:OWN@resident1, destination:OWN@doctor1, vulnId:sharing_credential, explType:COWORKING];0.07151310191211876
human;[source:OWN@INTERNAL_ATTACKER, destination:OWN@itoperator1, vulnId:unprotected_credential, explType:PROXIMITY];0.059449768578785436
human;[source:OWN@INTERNAL_ATTACKER, destination:USE@doctor1, vulnId:no_logout, explType:PROXIMITY];0.09217476857878543
human;[source:OWN@INTERNAL_ATTACKER, destination:OWN@resident1, vulnId:unprotected_credential, explType:PROXIMITY];0.059449768578785436
access;[source:OWN@doctor1, destination:cred1];0.15725636218681585
access;[source:OWN@doctor1, destination:cred4];0.15725636218681585
access;[source:OWN@resident1, destination:cred2];0.12847412338084568
access;[source:USE@doctor1, destination:cred1];0.206553600992786
access;[source:OWN@itoperator1, destination:cred3];0.12847412338084568
network;[source:USER@n1, destination:ROOT@n6, cve:CVE-2009-2412, type:network, port:443, protocol:TCP];0.10236281342804433
network;[source:USER@n1, destination:ROOT@n2, cve:CVE-2009-2412, type:network, port:5556, protocol:TCP];0.10236281342804433
network;[source:USER@n1, destination:ROOT@n1, cve:CVE-2018-3110, type:network, port:7778, protocol:TCP];0.12216281342804432
network;[source:ROOT@n1, destination:ROOT@n6, cve:CVE-2009-2412, type:network, port:443, protocol:TCP];0.10236281342804433
network;[source:ROOT@n1, destination:ROOT@n2, cve:CVE-2009-2412, type:network, port:5556, protocol:TCP];0.10236281342804433
network;[source:ROOT@n1, destination:ROOT@n1, cve:CVE-2018-3110, type:network, port:7778, protocol:TCP];0.12216281342804432
network;[source:ROOT@n2, destination:ROOT@n6, cve:CVE-2009-2412, type:network, port:443, protocol:TCP];0.10236281342804433
network;[source:ROOT@n2, destination:ROOT@n2, cve:CVE-2009-2412, type:network, port:5556, protocol:TCP];0.10236281342804433
network;[source:ROOT@n2, destination:ROOT@n1, cve:CVE-2018-3110, type:network, port:7778, protocol:TCP];0.12216281342804432
network;[source:ROOT@n6, destination:ROOT@n7, cve:CVE-2018-4846, type:network, port:5556, protocol:TCP];0.3968878134280443
network;[source:ROOT@n6, destination:ROOT@n6, cve:CVE-2009-2412, type:network, port:443, protocol:TCP];0.10236281342804433
network;[source:ROOT@n6, destination:ROOT@n2, cve:CVE-2009-2412, type:network, port:5556, protocol:TCP];0.10236281342804433
network;[source:ROOT@n6, destination:ROOT@n1, cve:CVE-2018-3110, type:network, port:7778, protocol:TCP];0.12216281342804432
network;[source:USER@n2, destination:ROOT@n6, cve:CVE-2009-2412, type:network, port:443, protocol:TCP];0.10236281342804433
network;[source:USER@n2, destination:ROOT@n2, cve:CVE-2009-2412, type:network, port:5556, protocol:TCP];0.10236281342804433
network;[source:USER@n2, destination:ROOT@n1, cve:CVE-2018-3110, type:network, port:7778, protocol:TCP];0.12216281342804432
network;[source:USER@n3, destination:ROOT@n6, cve:CVE-2009-2412, type:network, port:443, protocol:TCP];0.10236281342804433
network;[source:USER@n3, destination:ROOT@n2, cve:CVE-2009-2412, type:network, port:5556, protocol:TCP];0.10236281342804433
network;[source:USER@n3, destination:ROOT@n1, cve:CVE-2018-3110, type:network, port:7778, protocol:TCP];0.12216281342804432
network;[source:ROOT@n3, destination:ROOT@n6, cve:CVE-2009-2412, type:network, port:443, protocol:TCP];0.10236281342804433
network;[source:ROOT@n3, destination:ROOT@n2, cve:CVE-2009-2412, type:network, port:5556, protocol:TCP];0.10236281342804433
network;[source:ROOT@n3, destination:ROOT@n1, cve:CVE-2018-3110, type:network, port:7778, protocol:TCP];0.12216281342804432
network;[source:USER@n4, destination:ROOT@n1, cve:CVE-2018-3110, type:network, port:7778, protocol:TCP];0.12216281342804432
network;[source:USER@n4, destination:ROOT@n6, cve:CVE-2009-2412, type:network, port:443, protocol:TCP];0.10236281342804433
network;[source:USER@n4, destination:ROOT@n2, cve:CVE-2009-2412, type:network, port:5556, protocol:TCP];0.10236281342804433
network;[source:ROOT@n4, destination:ROOT@n2, cve:CVE-2009-2412, type:network, port:5556, protocol:TCP];0.10236281342804433
network;[source:ROOT@n4, destination:ROOT@n1, cve:CVE-2018-3110, type:network, port:7778, protocol:TCP];0.12216281342804432
network;[source:ROOT@n4, destination:ROOT@n6, cve:CVE-2009-2412, type:network, port:443, protocol:TCP];0.10236281342804433
network;[source:USER@n5, destination:ROOT@n2, cve:CVE-2009-2412, type:network, port:5556, protocol:TCP];0.10236281342804433
network;[source:USER@n5, destination:ROOT@n1, cve:CVE-2018-3110, type:network, port:7778, protocol:TCP];0.12216281342804432
network;[source:USER@n5, destination:ROOT@n6, cve:CVE-2009-2412, type:network, port:443, protocol:TCP];0.10236281342804433
network;[source:ROOT@n5, destination:ROOT@n6, cve:CVE-2009-2412, type:network, port:443, protocol:TCP];0.10236281342804433
network;[source:ROOT@n5, destination:ROOT@n2, cve:CVE-2009-2412, type:network, port:5556, protocol:TCP];0.10236281342804433
network;[source:ROOT@n5, destination:ROOT@n1, cve:CVE-2018-3110, type:network, port:7778, protocol:TCP];0.12216281342804432
network;[source:USER@n6, destination:ROOT@n2, cve:CVE-2009-2412, type:network, port:5556, protocol:TCP];0.10236281342804433
network;[source:USER@n6, destination:ROOT@n1, cve:CVE-2018-3110, type:network, port:7778, protocol:TCP];0.12216281342804432
network;[source:USER@n6, destination:ROOT@n7, cve:CVE-2018-4846, type:network, port:5556, protocol:TCP];0.3968878134280443
network;[source:USER@n6, destination:ROOT@n6, cve:CVE-2009-2412, type:network, port:443, protocol:TCP];0.10236281342804433
network;[source:ROOT@n7, destination:ROOT@n7, cve:CVE-2018-4846, type:network, port:5557, protocol:TCP];0.3968878134280443
